dms,epoch,avg_zero_shot_fitness_spearman
CAS9_STRP1_Spencer_2017_positive,-1,0.18208272875188136
CAS9_STRP1_Spencer_2017_positive,0,0.19438944902072658
CAS9_STRP1_Spencer_2017_positive,1,0.19379147829372637
CAS9_STRP1_Spencer_2017_positive,2,0.18937321703839843
CAS9_STRP1_Spencer_2017_positive,3,0.18327619964062725
CAS9_STRP1_Spencer_2017_positive,4,0.17571769461516346
CASP3_HUMAN_Roychowdhury_2020,-1,0.6374856697311677
CASP3_HUMAN_Roychowdhury_2020,0,0.636012316119224
CASP3_HUMAN_Roychowdhury_2020,1,0.6388247901248096
CASP3_HUMAN_Roychowdhury_2020,2,0.6430067004025826
CASP3_HUMAN_Roychowdhury_2020,3,0.642205024554695
CASP3_HUMAN_Roychowdhury_2020,4,0.6384761613961878
CASP7_HUMAN_Roychowdhury_2020,-1,0.6220912397067682
CASP7_HUMAN_Roychowdhury_2020,0,0.6122153761317787
CASP7_HUMAN_Roychowdhury_2020,1,0.5882925347425393
CASP7_HUMAN_Roychowdhury_2020,2,0.5816461634233856
CASP7_HUMAN_Roychowdhury_2020,3,0.5695312800574029
CASP7_HUMAN_Roychowdhury_2020,4,0.5646766633633303
CATR_CHLRE_Tsuboyama_2023_2AMI,-1,0.658304079956461
CATR_CHLRE_Tsuboyama_2023_2AMI,0,0.6356252683899613
CATR_CHLRE_Tsuboyama_2023_2AMI,1,0.6187550132857319
CATR_CHLRE_Tsuboyama_2023_2AMI,2,0.6016674250690609
CATR_CHLRE_Tsuboyama_2023_2AMI,3,0.591130781870428
CATR_CHLRE_Tsuboyama_2023_2AMI,4,0.5953714223950353
CBPA2_HUMAN_Tsuboyama_2023_1O6X,-1,0.7013645045675212
CBPA2_HUMAN_Tsuboyama_2023_1O6X,0,0.7120230791120803
CBPA2_HUMAN_Tsuboyama_2023_1O6X,1,0.738875373815969
CBPA2_HUMAN_Tsuboyama_2023_1O6X,2,0.7692137978328244
CBPA2_HUMAN_Tsuboyama_2023_1O6X,3,0.7594271524428474
CBPA2_HUMAN_Tsuboyama_2023_1O6X,4,0.7497969252256328
CBS_HUMAN_Sun_2020,-1,0.3422514799944782
CBS_HUMAN_Sun_2020,0,0.33742207872108565
CBS_HUMAN_Sun_2020,1,0.328179825077716
CBS_HUMAN_Sun_2020,2,0.32256122239716
CBS_HUMAN_Sun_2020,3,0.3231910554079182
CBS_HUMAN_Sun_2020,4,0.3252862251976133
